INFO 2024-11-28 18:01:50,399 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:01:50,683 consumers New WebSocket connection: admin
INFO 2024-11-28 18:01:50,685 consumers New WebSocket connection: admin
INFO 2024-11-28 18:01:50,685 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:01:56,486 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:02:04,380 consumers New WebSocket connection: admin
INFO 2024-11-28 18:02:04,389 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:02:04,421 consumers New WebSocket connection: admin
INFO 2024-11-28 18:03:14,885 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:03:18,163 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:03:21,453 consumers WebSocket connection closed: admin
INFO 2024-11-28 18:11:56,746 consumers WebSocket connection closed: admin
